TOTAL,SNA,MONTH,COUNTY,SSI,ADC,YEAR,PLAN NAME,NYSoH
20871,3093,JANUARY,Albany,2713,15065,2013,Capital District Physicians Health Plan,
8073,1607,JANUARY,Albany,777,5689,2013,NYS Catholic Health Plan,
1672,297,JANUARY,Albany,267,1108,2013,Wellcare of New York,
2838,441,JANUARY,Allegany,377,2020,2013,HealthNow/BCBS-WNY/Community Blue,
346,65,JANUARY,Allegany,26,255,2013,NYS Catholic Health Plan,
1877,245,JANUARY,Allegany,172,1460,2013,Univera Community Health,
286,25,JANUARY,Broome,72,189,2013,Capital District Physicians Health Plan,
21155,3383,JANUARY,Broome,2921,14851,2013,Excellus Health Plan,
4005,559,JANUARY,Broome,776,2670,2013,NYS Catholic Health Plan,
297,80,JANUARY,Broome,65,152,2013,United Healthcare Plan of NY,
4140,474,JANUARY,Cattaraugus,765,2901,2013,HealthNow/BCBS-WNY/Community Blue,
3188,368,JANUARY,Cattaraugus,349,2471,2013,NYS Catholic Health Plan,
1961,292,JANUARY,Cattaraugus,201,1468,2013,Univera Community Health,
2882,440,JANUARY,Cayuga,252,2190,2013,Excellus Health Plan,
4812,668,JANUARY,Cayuga,459,3685,2013,NYS Catholic Health Plan,
1082,164,JANUARY,Cayuga,147,771,2013,United Healthcare Plan of NY,
4141,646,JANUARY,Chautauqua,694,2801,2013,HealthNow/BCBS-WNY/Community Blue,
15741,2418,JANUARY,Chautauqua,1856,11467,2013,NYS Catholic Health Plan,
1060,311,JANUARY,Chautauqua,181,568,2013,Univera Community Health,
4074,370,JANUARY,Chemung,600,3104,2013,Excellus Health Plan,
4866,724,JANUARY,Chemung,757,3385,2013,NYS Catholic Health Plan,
5145,680,JANUARY,Chenango,345,4120,2013,NYS Catholic Health Plan,
931,167,JANUARY,Chenango,96,668,2013,United Healthcare Plan of NY,
8181,1265,JANUARY,Clinton,815,6101,2013,NYS Catholic Health Plan,
963,229,JANUARY,Clinton,121,613,2013,United Healthcare Plan of NY,
3280,484,JANUARY,Columbia,520,2276,2013,Capital District Physicians Health Plan,
2746,442,JANUARY,Columbia,222,2082,2013,NYS Catholic Health Plan,
4709,627,JANUARY,Cortland,456,3626,2013,NYS Catholic Health Plan,
1583,203,JANUARY,Cortland,166,1214,2013,SCHC Total Care,
4571,833,JANUARY,Delaware Mandatory,155,3583,2013,NYS Catholic Health Plan,
7430,1060,JANUARY,Dutchess,916,5454,2013,Hudson Health Plan,
6744,1128,JANUARY,Dutchess,828,4788,2013,MVP Health Plan,
5001,967,JANUARY,Dutchess,581,3453,2013,NYS Catholic Health Plan,
2032,201,JANUARY,Dutchess,266,1565,2013,Wellcare of New York,
21780,3808,JANUARY,Erie,2956,15016,2013,HealthNow/BCBS-WNY/Community Blue,
36566,5822,JANUARY,Erie,5562,25182,2013,Independent Health Association,
26728,3922,JANUARY,Erie,3536,19270,2013,NYS Catholic Health Plan,
34011,6183,JANUARY,Erie,3745,24083,2013,Univera Community Health,
3137,488,JANUARY,Essex,213,2436,2013,NYS Catholic Health Plan,
4721,830,JANUARY,Franklin Mandatory,149,3742,2013,NYS Catholic Health Plan,
1304,189,JANUARY,Fulton,214,901,2013,Capital District Physicians Health Plan,
6828,988,JANUARY,Fulton,771,5069,2013,NYS Catholic Health Plan,
2436,295,JANUARY,Genesee,218,1923,2013,HealthNow/BCBS-WNY/Community Blue,
1949,243,JANUARY,Genesee,286,1420,2013,MVP Health Plan,
767,136,JANUARY,Genesee,63,568,2013,NYS Catholic Health Plan,
2683,368,JANUARY,Greene,448,1867,2013,Capital District Physicians Health Plan,
2788,542,JANUARY,Greene,306,1940,2013,NYS Catholic Health Plan,
350,57,JANUARY,Hamilton,6,287,2013,NYS Catholic Health Plan,
1506,253,JANUARY,Herkimer,199,1054,2013,Excellus Health Plan,
6666,1003,JANUARY,Herkimer,611,5052,2013,NYS Catholic Health Plan,
61,6,JANUARY,Herkimer,9,46,2013,United Healthcare Plan of NY,
4784,670,JANUARY,Jefferson,204,3910,2013,Excellus Health Plan,
1236,272,JANUARY,Jefferson,79,885,2013,United Healthcare Plan of NY,
1009,105,JANUARY,Lewis,63,841,2013,Excellus Health Plan,
530,72,JANUARY,Lewis,42,416,2013,NYS Catholic Health Plan,
3828,524,JANUARY,Livingston,428,2876,2013,Excellus Health Plan,
1123,158,JANUARY,Livingston,186,779,2013,MVP Health Plan,
652,162,JANUARY,Livingston,26,464,2013,NYS Catholic Health Plan,
3616,499,JANUARY,Madison,340,2777,2013,Excellus Health Plan,
2378,336,JANUARY,Madison,203,1839,2013,NYS Catholic Health Plan,
764,144,JANUARY,Madison,73,547,2013,United Healthcare Plan of NY,
68555,9360,JANUARY,Monroe,9201,49994,2013,Excellus Health Plan,
13628,1396,JANUARY,Monroe,2377,9855,2013,MVP Health Plan,
17483,4912,JANUARY,Monroe,2418,10153,2013,NYS Catholic Health Plan,
3229,349,JANUARY,Montgomery,398,2482,2013,Capital District Physicians Health Plan,
5213,728,JANUARY,Montgomery,543,3942,2013,NYS Catholic Health Plan,
13657,2218,JANUARY,Nassau,1223,10216,2013,Affinity Health Plan,
9195,2235,JANUARY,Nassau,921,6039,2013,Amerigroup,
19671,3648,JANUARY,Nassau,1523,14500,2013,HealthFirst PHSP,
16978,3947,JANUARY,Nassau,2596,10435,2013,HIP of Greater New York,
20652,3578,JANUARY,Nassau,1716,15358,2013,NYS Catholic Health Plan,
22249,4486,JANUARY,Nassau,2074,15689,2013,United Healthcare Plan of NY,
8739,1582,JANUARY,Niagara,983,6174,2013,HealthNow/BCBS-WNY/Community Blue,
7540,1248,JANUARY,Niagara,1419,4873,2013,Independent Health Association,
9449,1633,JANUARY,Niagara,874,6942,2013,NYS Catholic Health Plan,
6649,1098,JANUARY,Oneida,899,4652,2013,Excellus Health Plan,
24802,2987,JANUARY,Oneida,3206,18609,2013,NYS Catholic Health Plan,
3997,643,JANUARY,Oneida,555,2799,2013,United Healthcare Plan of NY,
9972,1296,JANUARY,Onondaga,1179,7497,2013,Excellus Health Plan,
16416,2139,JANUARY,Onondaga,1930,12347,2013,NYS Catholic Health Plan,
23852,3223,JANUARY,Onondaga,3970,16659,2013,SCHC Total Care,
7172,1039,JANUARY,Onondaga,974,5159,2013,United Healthcare Plan of NY,
8006,954,JANUARY,Ontario,891,6161,2013,Excellus Health Plan,
612,60,JANUARY,Ontario,115,437,2013,MVP Health Plan,
250,67,JANUARY,Ontario,25,158,2013,NYS Catholic Health Plan,
14799,1817,JANUARY,Orange,1466,11516,2013,Affinity Health Plan,
12682,1802,JANUARY,Orange,1414,9466,2013,Hudson Health Plan,
18013,841,JANUARY,Orange,672,16500,2013,NYS Catholic Health Plan,
183,58,JANUARY,Orange,18,107,2013,United Healthcare Plan of NY,
1632,257,JANUARY,Orange,246,1129,2013,Wellcare of New York,
1924,254,JANUARY,Orleans,201,1469,2013,Excellus Health Plan,
1095,204,JANUARY,Orleans,133,758,2013,HealthNow/BCBS-WNY/Community Blue,
2168,414,JANUARY,Orleans,153,1601,2013,NYS Catholic Health Plan,
3572,519,JANUARY,Oswego,469,2584,2013,Excellus Health Plan,
10046,1343,JANUARY,Oswego,1002,7701,2013,NYS Catholic Health Plan,
5119,689,JANUARY,Oswego,579,3851,2013,United Healthcare Plan of NY,
3241,426,JANUARY,Otsego,377,2438,2013,Excellus Health Plan,
2403,428,JANUARY,Otsego,258,1717,2013,NYS Catholic Health Plan,
124,22,JANUARY,Putnam,50,52,2013,Amerigroup,
2790,413,JANUARY,Putnam,323,2054,2013,NYS Catholic Health Plan,
12909,2024,JANUARY,Rensselaer,1750,9135,2013,Capital District Physicians Health Plan,
4463,776,JANUARY,Rensselaer,502,3185,2013,NYS Catholic Health Plan,
812,132,JANUARY,Rensselaer,118,562,2013,Wellcare of New York,
5023,1004,JANUARY,Rockland,587,3432,2013,Affinity Health Plan,
9406,1074,JANUARY,Rockland,577,7755,2013,Hudson Health Plan,
37348,2243,JANUARY,Rockland,1058,34047,2013,NYS Catholic Health Plan,
355,122,JANUARY,Rockland,23,210,2013,United Healthcare Plan of NY,
2652,195,JANUARY,Rockland,133,2324,2013,Wellcare of New York,
4416,586,JANUARY,St Lawrence,291,3539,2013,Excellus Health Plan,
1037,189,JANUARY,St Lawrence,68,780,2013,NYS Catholic Health Plan,
8907,1362,JANUARY,Saratoga,1045,6500,2013,Capital District Physicians Health Plan,
4859,754,JANUARY,Saratoga,335,3770,2013,NYS Catholic Health Plan,
10744,1294,JANUARY,Schenectady,1806,7644,2013,Capital District Physicians Health Plan,
9761,1512,JANUARY,Schenectady,1147,7102,2013,NYS Catholic Health Plan,
1692,279,JANUARY,Schoharie,177,1236,2013,Capital District Physicians Health Plan,
1340,214,JANUARY,Schoharie,105,1021,2013,NYS Catholic Health Plan,
1053,156,JANUARY,Schuyler,62,835,2013,Excellus Health Plan,
713,145,JANUARY,Schuyler,41,527,2013,NYS Catholic Health Plan,
3376,385,JANUARY,Seneca,400,2591,2013,Excellus Health Plan,
4426,676,JANUARY,Steuben,396,3354,2013,Excellus Health Plan,
4449,584,JANUARY,Steuben,491,3374,2013,NYS Catholic Health Plan,
17418,2468,JANUARY,Suffolk,1387,13563,2013,Affinity Health Plan,
18292,2613,JANUARY,Suffolk,1543,14136,2013,HealthFirst PHSP,
17393,4203,JANUARY,Suffolk,2204,10986,2013,HIP of Greater New York,
22123,2489,JANUARY,Suffolk,1993,17641,2013,Neighborhood Health Providers,
23154,4091,JANUARY,Suffolk,2044,17019,2013,NYS Catholic Health Plan,
28021,5889,JANUARY,Suffolk,2473,19659,2013,United Healthcare Plan of NY,
8542,988,JANUARY,Sullivan,986,6568,2013,Hudson Health Plan,
2995,375,JANUARY,Sullivan,288,2332,2013,NYS Catholic Health Plan,
1338,158,JANUARY,Tioga,62,1118,2013,Capital District Physicians Health Plan,
2525,295,JANUARY,Tioga,148,2082,2013,NYS Catholic Health Plan,
270,47,JANUARY,Tioga,23,200,2013,United Healthcare Plan of NY,
361,87,JANUARY,Tompkins,16,258,2013,Excellus Health Plan,
1983,436,JANUARY,Tompkins,244,1303,2013,NYS Catholic Health Plan,
5107,690,JANUARY,Tompkins,579,3838,2013,SCHC Total Care,
5383,973,JANUARY,Ulster,568,3842,2013,Hudson Health Plan,
5806,1335,JANUARY,Ulster,684,3787,2013,MVP Health Plan,
4539,645,JANUARY,Ulster,416,3478,2013,NYS Catholic Health Plan,
2491,284,JANUARY,Ulster,425,1782,2013,Wellcare of New York,
3278,314,JANUARY,Warren,267,2697,2013,NYS Catholic Health Plan,
350,62,JANUARY,Warren,25,263,2013,United Healthcare Plan of NY,
2511,299,JANUARY,Washington,347,1865,2013,Capital District Physicians Health Plan,
4067,445,JANUARY,Washington,414,3208,2013,NYS Catholic Health Plan,
7759,836,JANUARY,Wayne,977,5946,2013,Excellus Health Plan,
1344,163,JANUARY,Wayne,158,1023,2013,NYS Catholic Health Plan,
14265,2756,JANUARY,Westchester,1497,10012,2013,Affinity Health Plan,
8062,1826,JANUARY,Westchester,1174,5062,2013,HIP of Greater New York,
47353,6160,JANUARY,Westchester,3850,37343,2013,Hudson Health Plan,
18279,4158,JANUARY,Westchester,1544,12577,2013,NYS Catholic Health Plan,
1075,333,JANUARY,Westchester,123,619,2013,United Healthcare Plan of NY,
1261,171,JANUARY,Wyoming,67,1023,2013,HealthNow/BCBS-WNY/Community Blue,
654,96,JANUARY,Wyoming,48,510,2013,NYS Catholic Health Plan,
2479,291,JANUARY,Yates,253,1935,2013,Excellus Health Plan,
21505,3512,JANUARY,Albany,2768,15225,2014,Capital District Physicians Health Plan,
8278,1772,JANUARY,Albany,778,5728,2014,NYS Catholic Health Plan,
114,36,JANUARY,Albany,9,69,2014,United Healthcare Plan of NY,
1787,378,JANUARY,Albany,249,1160,2014,Wellcare of New York,
3120,524,JANUARY,Allegany,399,2197,2014,HealthNow,
504,111,JANUARY,Allegany,42,351,2014,NYS Catholic Health Plan,
1882,295,JANUARY,Allegany,179,1408,2014,Univera Community Health,
275,24,JANUARY,Broome,67,184,2014,Capital District Physicians Health Plan,
22062,3714,JANUARY,Broome,3083,15265,2014,Excellus Health Plan,
4373,704,JANUARY,Broome,782,2887,2014,NYS Catholic Health Plan,
544,152,JANUARY,Broome,116,276,2014,United Healthcare Plan of NY,
4525,668,JANUARY,Cattaraugus,767,3090,2014,HealthNow,
3254,476,JANUARY,Cattaraugus,357,2421,2014,NYS Catholic Health Plan,
1957,373,JANUARY,Cattaraugus,223,1361,2014,Univera Community Health,
3099,512,JANUARY,Cayuga,289,2298,2014,Excellus Health Plan,
4958,818,JANUARY,Cayuga,478,3662,2014,NYS Catholic Health Plan,
1126,206,JANUARY,Cayuga,133,787,2014,United Healthcare Plan of NY,
4170,698,JANUARY,Chautauqua,686,2786,2014,HealthNow,
16299,2621,JANUARY,Chautauqua,1956,11722,2014,NYS Catholic Health Plan,
3,2,JANUARY,Chautauqua,0,1,2014,United Healthcare Plan of NY,
1052,325,JANUARY,Chautauqua,192,535,2014,Univera Community Health,
6057,775,JANUARY,Chemung,809,4473,2014,Excellus Health Plan,
6643,1059,JANUARY,Chemung,948,4636,2014,NYS Catholic Health Plan,
246,73,JANUARY,Chemung,35,138,2014,United Healthcare Plan of NY,
5505,787,JANUARY,Chenango,498,4220,2014,NYS Catholic Health Plan,
929,178,JANUARY,Chenango,139,612,2014,United Healthcare Plan of NY,
8854,1470,JANUARY,Clinton,1042,6342,2014,NYS Catholic Health Plan,
908,235,JANUARY,Clinton,145,528,2014,United Healthcare Plan of NY,
3599,630,JANUARY,Columbia,520,2449,2014,Capital District Physicians Health Plan,
2994,548,JANUARY,Columbia,253,2193,2014,NYS Catholic Health Plan,
17,7,JANUARY,Columbia,1,9,2014,United Healthcare Plan of NY,
